2020-06-16 10:35:56.1863|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 10:37:39.2392|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 10:38:13.0805|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 10:39:26.2689|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 10:40:19.6333|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 10:40:50.8565|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 10:41:17.4812|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 10:41:48.0343|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 10:42:49.2089|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 10:43:22.0671|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 10:43:53.0715|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 10:50:56.0017|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 10:51:35.1915|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 10:53:28.3265|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 10:55:41.5282|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 11:03:18.8467|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 11:04:13.8672|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 11:05:44.0504|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 11:10:56.4961|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 11:12:49.8826|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 11:19:21.6262|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 11:20:44.0688|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 11:29:28.5053|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 11:35:04.8062|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 11:42:16.0760|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 11:46:20.2174|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 11:49:18.3690|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 11:56:34.0759|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 12:00:45.1281|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 12:01:41.7125|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 12:02:27.1082|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 12:04:08.2495|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 12:05:30.5023|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 12:06:25.2042|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 12:06:54.9015|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 12:09:21.0169|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 12:10:12.7217|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 12:11:55.4152|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 12:21:48.7060|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 12:24:06.6411|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 12:27:04.7101|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 12:58:14.1672|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 13:02:33.0902|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 13:03:09.8537|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 14:51:29.1131|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 17:04:11.0197|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 17:05:02.5224|1000|OzoMvc.Controllers.PosaoController|INFO|  Posao 68 dodan. |url: https://localhost/Posao/Create?|action: Create
2020-06-16 17:05:30.4158|0|OzoMvc.Controllers.PosaoController|INFO|  Posao 66 uspješno obrisan |url: https://localhost/Posao/Delete?|action: Delete
2020-06-16 20:16:45.7924|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 20:25:58.1286|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
2020-06-16 20:30:23.4808|0|OzoMvc.Program|DEBUG|  init main |url: ?|action: 
